Month,Ad_Revenue_INR_Lakh,Digital_Unique_Visitors,Print_Circulation_Copies_Per_Day,Subscription_Revenue_INR_Lakh,Total_Revenue_INR_Lakh
2026-09-01,419.2599400124904,2965107.054199222,428538.73031075415,79.07064200272715,497.4230579302457
2026-10-01,579.4797304634448,3016023.4326201584,427391.3095876297,81.57574723122514,661.8227744802394
2026-11-01,582.0571190274678,3084448.778675599,435815.91589003213,84.19623474341478,666.7624956256784
2026-12-01,435.38456402400055,3005151.1575711644,422600.50855831517,86.89796639898714,521.0543293417757
2027-01-01,494.75965186555777,3131933.29963577,421004.8477363589,83.81463864485382,577.9899558349907
2027-02-01,461.35487632516225,3068623.6785183847,424800.39984988415,83.73481553443621,543.4264962463119
2027-03-01,450.2990928845721,3682002.9929125267,425272.88000029715,86.0225325096377,535.7158756191329
2027-04-01,458.0699514014627,3299862.5994913764,423704.4596392462,91.72692166875453,551.014440245624
2027-05-01,479.6347226013138,3228659.6311443625,401282.00093623216,88.24270940014523,567.9103903022819
2027-06-01,420.32280366639486,3207370.4613700984,403347.8770178667,89.19184149939474,509.36330574696467
2027-07-01,446.7043915161763,3299640.367349153,418207.0018405832,88.03920469356687,534.9213091876449
2027-08-01,478.385849736224,3414167.3743880293,421482.57952286256,90.15060326584057,568.1264481140039
